问题,答案
问题:如何断屑，有哪些方法？,答案:断屑是“外冷内排”加工方法中十分重要的环节。可以通过在刀具前刃面上磨出断屑台，或者改变主轴转数和进给量的关系来达到断屑的目的。
问题:“外冷内排”深孔加工刀具的特点是什么？,答案:“外冷内排”深孔加工刀具在刀头上除有切削刃之外，还有硬质合金的导向键。导向键的外径一般比切削刃的外径稍大，可以稳住刀体避免振动，并利用其挤压提高表面光洁度。挤压量的大小应根据生产实际效果来确定。
问题:什么是导向键的外圆研磨要求？,答案:导向键的外圆必须细心地研磨，不能留有划痕。
问题:冷却液在切削过程中的作用是什么？,答案:冷却液用于从孔中排除切屑，其流速大于切削速度的3-5倍，可以促使断屑并冷却润滑刀具。
问题:切削用量的选择应考虑哪些因素？,答案:切削用量的选择应考虑工件材料的硬度，硬度高的工件应选择较小的进给量，硬度低的工件应选择较大的进给量。
问题:什么是阶梯孔加工中采用复合刀具的优点？,答案:采用复合刀具加工阶梯孔可以在一次走刀中得到要求的加工形状，减少机床工位，节省加工时间，提高生产效率，并保证阶梯孔的同轴度。
问题:组合机床可以加工哪些类型的螺纹？,答案:组合机床可以加工紧固螺纹孔、锥螺纹、外螺纹以及大直径螺纹。
问题:在铸铁件上加工螺孔可以达到多少级精度？,答案:在铸铁件上加工螺孔可以达到2~3级精度。
问题:图2-36所示组合机床加工螺纹的典型示例中，主轴中心用什么表示？,答案:图2-36中，主轴中心用“5”表示。
问题:组合机床除能完成上述工艺内容外，还可以进行哪些非切削工序？,答案:组合机床还可以进行简单的装配工序（装套、压套）、检查等非切削工序。
问题:在组合机床加工过程中，始终存在的矛盾是什么？,答案:在组合机床加工过程中，始终存在的矛盾是切削与反切削。
问题:设计组合机床时，如何解决加工过程中的矛盾？,答案:设计组合机床时，需要正确地选择加工方法、工序间余量、切削用量以及刀具导向等。
问题:对于铸铁材料的一般孔加工，在组合机床上经常采用的工艺方法见表2-2中的哪些方法？,答案:对于铸铁材料的一般孔加工，在组合机床上经常采用的方法见表2-2中的方法1和方法2。
问题:对于铸铁材料的一般孔加工，在组合机床上的工艺过程实例见表2-3的哪些例子？,答案:对于铸铁材料的一般孔加工，在组合机床上的工艺过程实例见表2-3的第1和第2个例子。
问题:被加工零件的材料如何影响孔加工所需的工步数？,答案:被加工零件的材料对孔加工所需的工步数有一定的影响。
问题:铝合金件和铸铁件在加工小直径时，所需工步数有什么不同？,答案:铝合金件加工小直径时所需工步数较少，可比同等精度铸铁件少，采用同样工步数所达光洁度可以高一级。但加工直径较大的铝合金件所需工步数则和同等精度铸铁件相仿。
问题:钢件或铸钢件加工时，如何确定工步数？,答案:加工钢件或铸钢件时，由于加工比较困难，为了达到高的精度和光洁度，在精加工前必须使孔达到较高的光洁度及小的加工余量。有时采取比铸铁件较多的工步数，比如增加粗铰工序。但这也不是绝对的，在确定加工钢件的工步数时，必须从具体情况出发，合理地确定工步数。
问题:表2-4所示组合铣床加工平面工艺过程中，铣削平面工步数的选择应考虑什么因素？,答案:铣削平面工步数的选择，必须从要求的铣削光洁度及生产效率出发。若光洁度要求较高(v5~6)，生产效率也要求高时，为满足生产率的要求，铣削时应增大每齿走刀量；而为了可靠地保证要求的光洁度，则应采用粗铣及精铣两步。若生产效率要求不高时，铣削时的每齿走刀量就可以小，也就可以用较少的工步数达到高的铣削光洁度。这时就用不着以粗铣、精铣来达到v5~6光洁度的要求。]
问题:什么是组装式的复合刀具？为什么要尽可能采用组装式的复合刀具？,答案:组装式的复合刀具是指装有几把钝刀的镂杆、几把扩孔钻或饺刀的刀杆等。在确定复合刀具结构时，应尽可能采用组装式的复合刀具，因为整体的复合刀具制造时刃磨比较困难，造价昂贵。
问题:复合钻头、钻绞复合及扩饺复合刀具窄的特点是什么？,答案:复合钻头、钻绞复合及扩饺复合刀具窄的特点是制造时刃磨比较困难，造价昂贵。
问题:镂刀和绞刀的采用原则是什么？,答案:在组合机床上完成大孔和小孔的精加工工序，镂和饺的工艺方法均有采用。但饺刀直径不宜做得过大，一般用在加工中100毫米以下的孔。饺削工艺在多工位的回转工作台和鼓轮机床上采用较多，这是因为在多工位机床，特别是回转鼓轮式机床上，加工中易产生振动，采用钝削有时会引起加工孔不圆，采用绞削工艺就较为有利。另外，这类机床上一般对刀不够方便，采用饺刀较为合适。
问题:在什么情况下应采用绞削工艺？,答案:在加工中易产生振动、对刀不够方便、加工孔直径小于100毫米的情况下，应采用绞削工艺。另外，如果加工同心孔系，孔直径小于40毫米时，也宜采用绞削工艺。
问题:在什么情况下应采用镂削工艺？,答案:只要所选工艺方案可以采用刚性较好的镜杆和对刀方便，以及加工中不至于有振动时，采用镂削方法为好。这是因为镂刀制造简单，刃磨方便。
问题:为什么加工洋火铸铁时要采用多刃绞刀或锐刀头加工？,答案:因为洋火铸铁的硬度较高，采用多刃绞刀或锐刀头加工可以提高刀具的使用寿命。
问题:为什么在加工钢件时有时也采用多刃锐刀头或绞刀加工？,答案:为了避免切屑缠绕刀杆。
问题:在什么情况下可以采用单刃锐削方法加工钢件？,答案:只要能可靠的解决单刀削时的断屑，加工钢件采用单刃锐削方法不仅完全可以，而且有利于达到更高的精度和光洁度。
问题:什么是钻铰复合加工？,答案:钻铰复合加工是指采用钻孔和铰孔复合加工方法，既提高了机床工序集中程度，又保证了较高的加工精度。
问题:采用钻铰复合加工方法加工差速器壳总成的示意图是什么样的？,答案:采用钻铰复合加工方法加工差速器壳总成的示意图如图2-37所示。
问题:采用钻铰复合加工方法加工差速器壳总成时，可以达到什么样的加工精度和表面光洁度？,答案:可以达到孔径精度IT22，表面光洁度Ra0.6，两孔不同轴度0.01~0.02毫米。
问题:在加工解放牌汽车发动机缸体的气阀孔时，采用无刃绞刀加工可以达到什么样的光洁度？,答案:可以达到Ra6~7的光洁度。
问题:采用的切削用量为多少？,答案:切削用量为：n=65转/分，s分=30毫米/分。
问题:加工进排气阀座一导管孔的要求是什么？,答案:加工进排气阀座一导管孔要求达到2级精度，光洁度要求V7，并要求阀座锥面对导管孔同心，共偏差不大于0.025毫米。
问题:采用何种加工方法可以可靠地保证导管孔的加工要求？,答案:采用镂一挤压加工方法可以可靠地保证导管孔的加工要求。
