问题,答案
问题:开机自诊断可以检查哪些设备？,答案:开机自诊断可以对系统中的关键硬件，如 CPU、存储器、I/O 单元、CRT/MDI 单元、纸带阅读机、软驱等装置进行自动检查。
问题:数控系统的自诊断在什么时候进行？,答案:数控系统的自诊断在开机时进行。
问题:诊断的时间决定于什么？,答案:诊断的时间决定于数控系统，一般只需数秒钟，但有的需要几分钟。
问题:以 FANUC 公司的 FANUC 11 系统为例，开机自诊断的步骤是什么？,答案:以 FANUC 公司的 FANUC 11 系统为例，开机自诊断的步骤包括对 CPU 进行复位、进行 ROM 测试、对 RAM 清零、对 BAC 芯片进行初始化等。
问题:号步骤检查的内容是什么？,答案:号步骤检查的内容是对 CPU 进行复位，开始执行诊断指令。
问题:号步骤检查的内容是什么？,答案:号步骤检查的内容是进行 ROM 测试，表示 ROM 检查出错时，显示器变为 b。
问题:号步骤检查的内容是什么？,答案:号步骤检查的内容是对 RAM 清零，系统对 RAM 中的内容进行清除，为正常运行作好准备。
问题:号步骤检查的内容是什么？,答案:号步骤检查的内容是对 BAC总线随机控制芯片进行初始化。
问题:什么是在线监控，它包括哪些形式？,答案:在线监控是指对 CNC 系统和其他设备的状态进行实时监控的方法。它包括 CNC 内部程序监控和通过外部设备监控两种形式。
问题:CNC 内部程序监控包括哪些方面？,答案:CNC 内部程序监控包括接口信号显示、内部状态显示和故障显示三方面。它可以帮助诊断、检查和监视 CNC 系统内部以及与 CNC 相连的伺服单元、伺服电动机、主轴伺服单元、主轴电动机、外部设备等的状态。
问题:如何在维修时了解 CNC 和 PLC、CNC 和机床之间信号的意义及信号产生的条件？,答案:维修 CNC 和 PLC、CNC 和机床之间的信号时，需要阅读数控系统生产厂家所提供的“功能说明书”、“连接说明书”以及机床生产厂家提供的“机床电气原理图”。
问题:内部状态显示功能可以显示哪些方面的内容？,答案:利用内部状态显示功能，可以显示造成循环指令加工程序不执行的外部原因，如 CNC 系统是否处于“到位检查”中、是否处于“机床锁住”状态等。
问题:什么是复位状态显示，它能指示什么？,答案:复位状态显示指示系统是否处于“急停”状态或是“外部复位”信号接通状态。
问题:TH报警状态显示能显示什么？,答案:TH报警状态显示可以显示出报警时的纸带错误孔的位置。
问题:位置跟随误差的显示是什么？,答案:位置跟随误差的显示是指伺服驱动部分的位置跟随误差。
问题:什么是指编码器、光栅等位置测量元件的输入脉冲显示？,答案:编码器、光栅等位置测量元件的输入脉冲显示是指这些元件提供的输入脉冲。
问题:故障信息显示通常如何进行？,答案:在数控系统中，故障信息一般以“报警显示”的形式在 CRT 上进行显示。
问题:报警显示的内容有何差异？,答案:报警显示的内容根据数控系统的不同有所区别，这些信息大都以“报警号”加文本的形式出现。
问题:如何通过外部设备监控数控机床？,答案:通过外部设备监控是指采用计算机、PLC 编程器等设备，对数控机床的各部分状态进行自动诊断、检查和监视的一种方法。
问题:如何进行 PLC 程序的动态检测，需要哪些设备？,答案:通过计算机、PLC编程器对 PLC 程序以梯形图、功能图的形式进行动态检测，需要计算机、PLC编程器和必要的在线监控设备。
问题:什么是远程诊断技术，它如何应用在数控机床维修中？,答案:远程诊断技术是通过网络联接进行的外部设备在线监控的一种方式。通过网络，数控系统生产厂家可以直接对其生产的产品在现场的工作情况进行检测、监控，并及时解决系统中所出现的问题，为现场维修人员提供指导和帮助。
问题:什么是脱机测试，它与在线测试有何不同？,答案:脱机测试也称为“离线诊断”，是指将数控系统与机床脱离后，对数控系统本身进行的测试与检查。脱机测试与在线测试的不同之处在于，脱机测试不依赖于机床，更专注于数控系统的功能和性能。
问题:什么是脱机测试，在数控系统的维修中起到什么作用？,答案:脱机测试是对系统的故障进行进一步定位的方法，力求把故障范围缩到最小。在数控系统的维修中，脱机测试需要专用诊断软件或专用测试装置，只能在数控系统的生产厂家或专门的维修部门进行。
问题:现代 CNC 的离线诊断软件有何发展趋势？,答案:随着计算机技术的发展，现代 CNC 的离线诊断软件正在逐步与 CNC 控制软件一体化，有的系统已将“专家系统”引入故障诊断中。通过这样的软件，操作者只要在 CRT/MDI 上作一些简单的会话操作，即可诊断出 CNC 系统或机床的故障。
问题:故障记录在维修基本步骤中处于什么位置？,答案:故障记录是维修基本步骤中的第一步。当数控机床发生故障时，操作人员应首先停止机床，保护现场，然后对故障进行尽可能详细的记录，并及时通知维修人员。
问题:故障记录为何对维修人员排除故障很重要？,答案:故障的记录可为维修人员排除故障提供第一手材料，应尽可能详细。记录内容最好包括下述几个方面。
问题:故障记录应包含哪些方面的内容？,答案:故障记录最好包括故障发生时的情况记录、发生故障的机床型号、采用的控制系统型号、系统的软件版本号、故障的现象、发生故障的部位、发生故障时机床与控制系统的现象、手动数据输入方式、发生故障时系统所处的操作方式、发生故障时的加工程序号、出现故障的程序段号、加工时采用的刀具号、发生加工精度超差或轮廓误差过大等故障时被加工工件号和不合格工件的保留等。
问题:如何记录系统的报警显示情况与报警号？,答案:在发生故障时，若系统有报警显示，则需要记录系统的报警显示情况与报警号。
问题:如何记录机床故障时所处的工作状态？,答案:通过诊断画面，记录机床故障时所处的工作状态，例如：系统是否在执行 M、S、T 等功能？系统是否进入暂停状态或是急停状态？系统坐标轴是否处于“互锁”状态？进给倍率是否为 0%？等等。
问题:如何记录发生故障时各坐标轴的位置跟随误差的值？,答案:记录发生故障时，各坐标轴的位置跟随误差的值。
问题:如何记录发生故障时各坐标轴的移动速度、移动方向，主轴转速、转向？,答案:记录发生故障时，各坐标轴的移动速度、移动方向，主轴转速、转向等信息。
