questions,answers
虚轴机床的制造成本可能低于同等功能的传统机床，原因有哪些？,虚轴机床的制造成本可能低于同等功能的传统机床，原因包括：①虚轴机床用复杂的数学运算和相对简单的机械结构来实现复杂型面的加工，降低了结构制造成本；②虚轴机床具有轴对称的基本结构，其对称部件易于实现模块化设计和批量生产；③虚轴机床的关键部件易于采用滚珠丝杠、关节轴承等通用件、标准件；④并联结构各运动副分担工作载荷，驱动功率远小于同等规格的传统机床，伺服系统成本降低。
虚轴机床在哪些方面具有无可比拟的优势？,虚轴机床在刚性、加工效率等方面具有无可比拟的优势，并且机械结构比同等功能的传统机床简单，便于制造，有利于降低制造成本。
虚轴机床的关键技术包括哪些内容？,虚轴机床的关键技术包括运动学计算和动力学计算。运动学计算根据执行机构所需的位移、速度、加速度求解驱动机构的位移、速度、加速度，并校核机械结构是否满足运动的需要；动力学计算根据活动平台的结构、质量、位移、速度、加速度等条件求出6杆的受力。
如何求出惯性力和惯性力矩的表达式？,根据已求出的加速度和角加速度，以及动平台的质量和惯性矩，可求出惯性力和惯性力矩的表达式。
解受力平衡方程组的目的是什么？,解受力平衡方程组便得到动力条件下的结构受力，作为承力构件强度、刚度设计以及6杆驱动电动机选择的依据。
控制技术在虚轴机床研制中扮演什么角色？,控制技术是虚轴机床研制中的核心技术，其内容包括控制策略、控制运算、控制系统和数控编程系统的软、硬件技术。
优化设计涉及哪些方面？,优化设计涉及运动学、动力学计算、控制系统和机械结构设计中，应采用优化设计方法达到最佳设计效果。
数控铣床主传动系统的主要组成部分是什么？,数控铣床主传动系统主要包括电动机、传动系统和主轴部件。
与普通铣床相比，数控铣床主传动系统在结构上的特点是什么？,与普通铣床的主传动系统相比，数控铣床主传动系统在结构上比较简单，变速功能全部或大部分由主轴电动机的无级调速来承担，省去了复杂的齿轮变速机构。
什么是数控铣床主传动系统的结构特点？,数控铣床主传动系统一般采用直流或交流主轴电动机，通过带传动和主轴箱的变速齿轮带动主轴旋转。这种电动机调速范围广，可以无级调速，简化了主轴箱的结构，保证了加工时能选用合理的切削用量。
主轴电动机的功率和转矩如何变化？,主轴电动机在额定转速时输出全部功率和最大转矩，随着转速的变化，功率和转矩将发生变化。在调压范围内（从额定转速调到最低转速）为恒转矩，功率随转速成正比例下降。在调速范围内（从额定转速调到最高转速）为恒功率，转矩随转速升高成正比例减小。
主轴箱为什么需要设置变速挡位？,电动机的有效转速范围不一定能满足主轴的工作需要，所以主轴箱一般仍需要设置几挡变速（2～4挡），以满足不同的加工要求。
主传动系统变速方式有哪些？,目前主传动系统主要有三种变速方式：①二级以上齿轮变速系统；②无级变速系统；③采用步进电动机或交流伺服电动机驱动的主轴电动机变速系统。
图2-9（a）所示的主传动系统是如何实现变速的？,滑移齿轮的移位大都采用液压驱动，经齿轮变速后实现分段无级变速。
二级齿轮变速主轴结构的优缺点是什么？,优点是能够满足各种切削运动的转矩输出，具有大范围调节速度的能力。缺点是结构复杂，需要增加润滑及温度控制装置，成本较高，制造和维修也比较困难。
一级带传动变速方式的优点是什么？,结构简单，安装调试方便，且在一定条件下能满足转速与转矩的输出要求。
调速电动机直接驱动方式的优点是什么？,结构紧凑，占用空间少，转换频率高。
直流电动机的调速方法有哪些？,直流电动机从额定转速向上至最高转速是用调节磁场电流（简称调磁）的办法来调速的，属于恒功率；从额定转速向下至最低转速是用调节电枢电压（简称调压）的办法来调速的，属恒转矩。
什么是交流调速电动机调速的方法？,交流调速电动机通过调节供电频率的办法调速，因此常称为调频电机。
分离传动变速箱有哪些特点？,分离传动变速箱已形成独立的功能部件，可以通过带传动主轴连接电动机和输出轴，具有不同的公比、级数（通常为2、3、4级）和功率，形成系列，并包括操纵机构和润滑系统，由专门工厂制造，可供机床厂外购。
主轴的主要结构参数有哪些，它们对主轴有什么影响？,主轴的主要结构参数包括主轴前、后轴颈D1和D2，主轴内孔直径d，主轴前端悬伸量a和主轴主要支承间的跨距L。这些参数直接影响主轴旋转精度和主轴刚度。
主轴前轴颈D1如何选取？,主轴前轴颈D1的选取一般按机床类型、主轴传递的功率或最大加工直径来选取。铣床后轴颈的直径D2≈（0.7～0.85）D。
主轴内孔直径d如何选取？,主轴内孔直径d与其用途有关。车床主轴内孔用来通过棒料或安装送夹料机构；铣床主轴内孔可通过拉杆来拉紧刀杆等，为不过多地削弱主轴的刚度，铣床主轴孔径d可比刀具拉杆直径大5～10mm。主轴内孔直径在一定范围内对主轴刚度影响很小，若超出此范围则能使主轴刚度急剧下降。
什么是数控铣床主传动系统的机械结构？,答案：数控铣床主传动系统的机械结构主要是主轴部件的结构，包括主轴、主轴轴承和传动件等一般组成部分，以及刀具自动装卸及吹屑装置、主轴准停装置等。
数控铣床主轴轴承配置的主要形式有哪些？,答案：目前数控铣床主轴轴承配置的主要形式有3种：（1）前、后支承采用不同轴承，如图2—17（a）所示；（2）前支承采用多个高精度向心推力球轴承，如图2—17（b）所示；（3）前、后支承采用相同轴承，如图2—17（c）所示。
图2-17（c）所示主轴支承结构的前支承采用什么轴承？,双列圆锥滚子轴承
后支承采用什么轴承？,单列圆锥滚子轴承
这种主轴支承结构适用于哪种类型的数控机床？,中等精度、低速、重载数控机床
主轴组件除了高精度和高刚度外，还带有什么装置？,刀具自动装卸装置和主轴孔内的切屑清除装置
主轴前端的锥孔用于什么目的？,装夹锥柄刀具
端面键13的作用是什么？,刀具定位和传递转矩
该机床如何实现刀具的自动装卸？,通过拉紧机构拉紧锥柄刀夹尾端的轴颈来实现刀夹的定位和夹紧
刀具松开时，压力油如何进入液压缸上腔？,液压缸上腔接通回油
当钢球12随拉杆一起下移至进入主轴孔中直径较大的d1处时，它能约束拉钉的头部吗？,不能
如何在换刀操作中自动清除主轴孔中的切屑和尘埃？,使用压缩空气吹屑。在主轴锥孔中掉进切屑或其他污物时，会影响刀具的正确定位和加工零件的精度，甚至使零件报废。为了保证主轴锥孔的清洁，常用压缩空气吹屑。
